UNITID,EFDEEXC,EFDESOM,EFDENON
100654,54,883,4922
100654,38,821,3992
100654,38,815,3763
100654,0,6,229
100654,16,62,930
100663,4428,5873,9234
100663,1780,5050,5539
100663,1712,5023,5312
100663,68,27,227
100663,2648,823,3695
100690,597,,
100690,294,,
100690,293,,
100690,1,,
100690,303,,
100706,449,896,7123
100706,43,521,5943
100706,41,518,5787
100706,2,3,156
100706,406,375,1180
100724,383,255,4680
100724,305,217,4205
100724,305,217,4182
100724,0,0,23
100724,78,38,475
100751,3627,6615,27421
100751,2317,6027,24219
100751,1681,6011,23971
100751,636,16,248
100751,1310,588,3202
100760,121,578,1070
100760,121,578,1070
100760,116,568,808
100760,5,10,262
100812,1724,1031,308
100812,1687,1030,308
100812,1572,1022,294
100812,115,8,14
100812,37,1,0
100830,325,1334,3219
100830,174,1207,2892
100830,156,1201,2814
100830,18,6,78
100830,151,127,327
100858,1209,4245,22836
100858,111,3926,18621
100858,111,3926,18058
100858,0,0,563
100858,1098,319,4215
100937,,,1293
100937,,,1293
100937,,,1289
100937,,,4
101028,36,306,1186
101028,36,306,1186
101028,31,303,1090
101028,5,3,96
101073,0,147,193
101073,0,147,193
101073,0,147,193
101116,0,198,319
101116,0,134,260
101116,0,134,260
101116,0,64,59
101143,243,383,1129
101143,243,383,1129
101143,157,338,862
101143,86,45,267
101161,532,1905,2344
101161,532,1905,2344
101161,490,1875,1824
101161,42,30,520
101189,871,844,1604
101189,501,751,1331
101189,490,749,1058
101189,11,2,273
101189,370,93,273
101240,627,1399,3083
101240,627,1399,3083
101240,534,1339,2667
101240,93,60,416
101277,,,82
101277,,,82
101286,228,616,3699
101286,228,616,3699
101286,203,581,3120
101286,25,35,579
101295,675,1675,3095
101295,675,1675,3095
101295,630,1560,2667
101295,45,115,428
101301,401,441,776
101301,401,441,776
101301,252,424,721
101301,149,17,55
101365,163,7,329
101365,146,7,329
101365,146,7,328
101365,0,0,1
101365,17,0,0
101435,0,0,1148
101435,0,0,1148
101435,0,0,1140
101435,0,0,8
101453,50,13,19
101453,25,10,15
101453,25,10,15
101453,25,3,4
101462,42,284,503
101462,42,284,503
101462,35,281,478
101462,7,3,25
101471,,,446
101471,,,446
101471,,,446
101480,1632,0,6882
101480,1034,0,6527
101480,826,0,5888
101480,208,0,639
101480,598,0,355
101499,45,300,655
101499,45,300,655
101499,38,299,618
101499,7,1,37
101505,1402,1868,5668
101505,1402,1868,5668
101505,1209,1831,4216
101505,193,37,1452
101514,1668,2485,5747
101514,1668,2485,5747
101514,1368,2354,4692
101514,300,131,1055
101541,0,87,240
101541,0,87,240
101541,0,87,240
101569,214,514,2400
101569,214,514,2400
101569,141,491,2299
101569,73,23,101
101587,1990,224,1772
101587,206,153,1619
101587,204,153,1617
101587,2,0,2
101587,1784,71,153
101602,60,748,934
101602,60,748,934
101602,49,740,630
101602,11,8,304
101648,,,425
101648,,,425
101648,,,422
101648,,,3
101675,,,1820
101675,,,1820
101675,,,1820
101693,164,521,795
101693,156,483,737
101693,154,483,730
101693,2,0,7
101693,8,38,58
101709,1,289,2508
101709,0,168,2241
101709,0,168,2231
101709,0,0,10
101709,1,121,267
101736,230,703,2819
101736,230,703,2819
101736,185,663,2146
101736,45,40,673
101879,1104,2328,3901
101879,378,2167,3709
101879,333,2114,3399
101879,45,53,310
101879,726,161,192
101897,281,1008,1324
101897,281,1008,1324
101897,212,898,897
101897,69,110,427
101912,57,40,1697
101912,57,40,1643
101912,57,40,1622
101912,0,0,21
101912,,,54
101949,39,272,1051
101949,39,272,1051
101949,28,271,786
101949,11,1,265
101958,10,,
101958,10,,
101958,10,,
101994,0,346,143
101994,0,346,143
101994,0,346,26
101994,0,0,117
102030,102,450,2476
102030,102,450,2476
102030,92,449,2091
102030,10,1,385
102049,698,786,3987
102049,38,513,2790
102049,38,513,2773
102049,0,0,17
102049,660,273,1197
102058,,,172
102058,,,165
102058,,,165
102058,,,7
102067,427,816,3567
102067,427,816,3567
102067,295,771,3370
102067,132,45,197
102076,627,1055,639
102076,627,1055,639
102076,502,1015,470
102076,125,40,169
102094,3444,3477,9522
102094,342,3247,8172
102094,335,3237,7911
102094,7,10,261
102094,3102,230,1350
102234,31,8,1437
102234,2,1,1378
102234,2,1,1376
102234,0,0,2
102234,29,7,59
102261,0,14,129
102261,0,14,129
102261,0,14,129
102270,0,40,588
102270,0,40,588
102270,0,40,588
102298,32,0,643
102298,32,0,643
102298,32,0,637
102298,0,0,6
102313,44,219,1398
102313,44,219,1398
102313,16,217,1131
102313,28,2,267
102368,6602,2104,9149
102368,4740,1790,7614
102368,4540,1761,7444
102368,200,29,170
102368,1862,314,1535
102377,12,0,2839
102377,,,2393
102377,,,2393
102377,12,0,446
102395,210,0,0
102395,75,0,0
102395,72,0,0
102395,3,0,0
102395,135,0,0
102429,351,632,2823
102429,351,632,2823
102429,260,625,2326
102429,91,7,497
102553,2617,4708,8993
102553,2333,4617,8596
102553,1435,4273,6125
102553,898,344,2471
102553,284,91,397
102580,0,7,33
102580,0,7,33
102580,0,5,25
102580,0,2,8
102614,2351,1924,4008
102614,1776,1599,3787
102614,1033,1519,2600
102614,743,80,1187
102614,575,325,221
102632,1436,404,723
102632,1200,344,706
102632,688,294,335
102632,512,50,371
102632,236,60,17
102669,58,68,415
102669,57,58,183
102669,55,55,152
102669,2,3,31
102669,1,10,232
102711,,,1209
102711,,,1209
102711,,,1209
102845,463,2078,135
102845,455,2077,135
102845,455,2051,135
102845,0,26,0
102845,8,1,0
103501,,,424
103501,,,424
103501,,,424
103741,,,104
103741,,,104
103778,26,1,270
103778,26,1,270
103811,,,274
103811,,,274
103893,41,256,356
103893,41,256,356
103893,41,256,356
103909,1,148,450
103909,1,148,450
103909,1,148,450
103927,0,110,198
103927,0,110,198
103945,,,101
103945,,,101
103945,,,101
103954,,,90
103954,,,90
103963,,,739
103963,,,739
104090,576,0,642
104090,459,0,642
104090,459,0,642
104090,117,0,0
104151,1031,29958,20880
104151,0,22069,20408
104151,0,21999,20225
104151,0,70,183
104151,1031,7889,472
104160,1263,2459,3847
104160,1263,2459,3847
104160,1063,2177,3271
104160,200,282,576
104179,2579,10418,30164
104179,807,9845,23042
104179,788,9832,22782
104179,19,13,260
104179,1772,573,7122
104188,,,136
104188,,,132
104188,,,132
104188,,,4
104346,1151,2710,1724
104346,1151,2710,1724
104346,1073,2516,1276
104346,78,194,448
104364,,,171
104364,,,171
104364,,,171
104391,,,60
104391,,,60
104425,972,992,2249
104425,972,992,2249
104425,884,963,1917
104425,88,29,332
104434,,,35
104434,,,35
104443,,,62
104443,,,62
104504,,,89
104504,,,89
104568,,,286
104568,,,286
104577,263,785,5375
104577,263,785,5375
104577,259,765,4058
104577,4,20,1317
104586,6,60,2373
104586,6,59,2312
104586,6,58,2299
104586,0,1,13
104586,0,1,61
104665,,,18
104665,,,18
104708,1351,3069,14580
104708,1351,3069,14580
104708,1118,2734,11002
104708,233,335,3578
104717,58779,9763,7292
104717,31102,9622,5573
104717,30865,9622,5008
104717,237,0,565
104717,27677,141,1719
104911,,,55
104911,,,55
105145,315,851,3892
105145,315,851,3892
105145,288,832,3315
105145,27,19,577
105154,2499,4004,14005
105154,2499,4004,14005
105154,2139,3615,10918
105154,360,389,3087
105206,806,1035,2389
105206,806,1035,2389
105206,672,912,1186
105206,134,123,1203
105215,,,1182
105215,,,1182
105297,117,458,821
105297,117,458,821
105297,85,446,745
105297,32,12,76
105330,6402,6504,17455
105330,4563,6098,15839
105330,4538,6096,15765
105330,25,2,74
105330,1839,406,1616
105349,547,606,1891
105349,547,606,1891
105349,388,417,664
105349,159,189,1227
105367,296,107,174
105367,219,44,37
105367,217,43,33
105367,2,1,4
105367,77,63,137
105428,1326,2462,7720
105428,1326,2462,7720
105428,1106,2261,6056
105428,220,201,1664
105482,,,89
105482,,,89
105525,3205,3765,17986
105525,3205,3765,17986
105525,3026,3701,15116
105525,179,64,2870
105534,1055,30,1024
105534,1055,30,1024
105534,1055,30,1024
105543,,,872
105543,,,872
105543,,,872
105589,132,216,356
105589,0,1,356
105589,0,0,351
105589,0,1,5
105589,132,215,0
105659,0,40,617
105659,0,40,617
105659,0,40,617
