UNITID,EFDEEXC,XEFDESOM,EFDESOM,EFDENON
100654,54,R,883,4922
100654,38,R,821,3992
100654,38,R,815,3763
100654,0,R,6,229
100654,16,R,62,930
100663,4428,R,5873,9234
100663,1780,R,5050,5539
100663,1712,R,5023,5312
100663,68,R,27,227
100663,2648,R,823,3695
100690,597,A,0,0
100690,294,A,0,0
100690,293,A,0,0
100690,1,A,0,0
100690,303,A,0,0
100706,449,R,896,7123
100706,43,R,521,5943
100706,41,R,518,5787
100706,2,R,3,156
100706,406,R,375,1180
100724,383,R,255,4680
100724,305,R,217,4205
100724,305,R,217,4182
100724,0,R,0,23
100724,78,R,38,475
100751,3627,R,6615,27421
100751,2317,R,6027,24219
100751,1681,R,6011,23971
100751,636,R,16,248
100751,1310,R,588,3202
100760,121,R,578,1070
100760,121,R,578,1070
100760,116,R,568,808
100760,5,R,10,262
100812,1724,R,1031,308
100812,1687,R,1030,308
100812,1572,R,1022,294
100812,115,R,8,14
100812,37,R,1,0
100830,325,R,1334,3219
100830,174,R,1207,2892
100830,156,R,1201,2814
100830,18,R,6,78
100830,151,R,127,327
100858,1209,R,4245,22836
100858,111,R,3926,18621
100858,111,R,3926,18058
100858,0,Z,0,563
100858,1098,R,319,4215
100937,0,A,0,1293
100937,0,A,0,1293
100937,0,A,0,1289
100937,0,A,0,4
101028,36,R,306,1186
101028,36,R,306,1186
101028,31,R,303,1090
101028,5,R,3,96
101073,0,R,147,193
101073,0,R,147,193
101073,0,R,147,193
101116,0,R,198,319
101116,0,R,134,260
101116,0,R,134,260
101116,0,R,64,59
101143,243,R,383,1129
101143,243,R,383,1129
101143,157,R,338,862
101143,86,R,45,267
101161,532,R,1905,2344
101161,532,R,1905,2344
101161,490,R,1875,1824
101161,42,R,30,520
101189,871,R,844,1604
101189,501,R,751,1331
101189,490,R,749,1058
101189,11,R,2,273
101189,370,R,93,273
101240,627,R,1399,3083
101240,627,R,1399,3083
101240,534,R,1339,2667
101240,93,R,60,416
101277,0,A,0,82
101277,0,A,0,82
101286,228,R,616,3699
101286,228,R,616,3699
101286,203,R,581,3120
101286,25,R,35,579
101295,675,R,1675,3095
101295,675,R,1675,3095
101295,630,R,1560,2667
101295,45,R,115,428
101301,401,R,441,776
101301,401,R,441,776
101301,252,R,424,721
101301,149,R,17,55
101365,163,R,7,329
101365,146,R,7,329
101365,146,R,7,328
101365,0,Z,0,1
101365,17,Z,0,0
101435,0,R,0,1148
101435,0,R,0,1148
101435,0,R,0,1140
101435,0,R,0,8
101453,50,R,13,19
101453,25,R,10,15
101453,25,R,10,15
101453,25,R,3,4
101462,42,R,284,503
101462,42,R,284,503
101462,35,R,281,478
101462,7,R,3,25
101471,0,A,0,446
101471,0,A,0,446
101471,0,A,0,446
101480,1632,R,0,6882
101480,1034,R,0,6527
101480,826,R,0,5888
101480,208,R,0,639
101480,598,R,0,355
101499,45,R,300,655
101499,45,R,300,655
101499,38,R,299,618
101499,7,R,1,37
101505,1402,R,1868,5668
101505,1402,R,1868,5668
101505,1209,R,1831,4216
101505,193,R,37,1452
101514,1668,R,2485,5747
101514,1668,R,2485,5747
101514,1368,R,2354,4692
101514,300,R,131,1055
101541,0,R,87,240
