UNITID,EFFYLEV,EFYTOTLT,XEYTOTLM,EFYTOTLM,EFYTOTLW
100654,1,6157,R,2646,3511
100654,2,4865,R,2258,2607
100654,4,1292,R,388,904
100663,1,21554,R,8383,13171
100663,2,13440,R,5552,7888
100663,4,8114,R,2831,5283
100690,1,830,R,337,493
100690,2,415,R,177,238
100690,4,415,R,160,255
100706,1,9206,R,5194,4012
100706,2,6994,R,3983,3011
100706,4,2212,R,1211,1001
100724,1,6101,R,2321,3780
100724,2,5373,R,2105,3268
100724,4,728,R,216,512
100751,1,41507,R,18526,22981
100751,2,35199,R,15946,19253
100751,4,6308,R,2580,3728
100760,1,2379,R,1027,1352
100760,2,2379,R,1027,1352
100812,1,4124,R,1478,2646
100812,2,4124,R,1478,2646
100830,1,5996,R,2158,3838
100830,2,5072,R,1847,3225
100830,4,924,R,311,613
100858,1,29237,R,14893,14344
100858,2,22953,R,11871,11082
100858,4,6284,R,3022,3262
100937,1,1382,R,696,686
100937,2,1382,R,696,686
101028,1,2361,R,928,1433
101028,2,2361,R,928,1433
101073,1,538,R,302,236
101073,2,538,R,302,236
101116,1,995,R,246,749
101116,2,777,R,197,580
101116,4,218,R,49,169
101143,1,2645,R,1407,1238
101143,2,2645,R,1407,1238
101161,1,6859,R,2589,4270
101161,2,6859,R,2589,4270
101189,1,4316,R,1651,2665
101189,2,3384,R,1277,2107
101189,4,932,R,374,558
101240,1,7089,R,2822,4267
101240,2,7089,R,2822,4267
101277,1,132,R,0,132
101277,2,132,R,0,132
101286,1,6460,R,2353,4107
101286,2,6460,R,2353,4107
101295,1,7132,R,2693,4439
101295,2,7132,R,2693,4439
101301,1,2671,R,922,1749
101301,2,2671,R,922,1749
101365,1,690,R,295,395
101365,2,675,R,287,388
101365,4,15,R,8,7
101435,1,1311,R,645,666
101435,2,1311,R,645,666
101453,1,100,R,95,5
101453,2,60,R,57,3
101453,4,40,R,38,2
101462,1,1459,R,652,807
101462,2,1459,R,652,807
101471,1,759,R,602,157
101471,2,759,R,602,157
101480,1,9886,R,4146,5740
101480,2,8628,R,3678,4950
101480,4,1258,R,468,790
101499,1,1628,R,770,858
101499,2,1628,R,770,858
101505,1,13591,R,5358,8233
101505,2,13591,R,5358,8233
101514,1,15575,R,7206,8369
101514,2,15575,R,7206,8369
101541,1,474,R,13,461
101541,2,474,R,13,461
101569,1,4814,R,1987,2827
