UNITID,EFTEUG,EFTEGD
100654,3977,828
100663,10174,4933
100690,255,158
100706,5290,1144
100724,4652,394
100751,30618,3709
100760,1396,
100812,2331,
100830,3522,437
100858,21208,3418
100937,1486,
101028,1360,
101073,387,
101116,475,92
101143,1445,
101161,3838,
101189,2594,427
101240,3898,
101277,83,
101286,3494,
101295,4291,
101301,1412,
101365,375,8
101435,1054,
101453,39,16
101462,726,
101471,561,
101480,6203,652
101499,954,
101505,5664,
101514,7013,
101541,303,
101569,2493,
101587,1765,1356
101602,1391,
101648,472,
101675,1880,
101693,1394,83
101709,2317,354
101736,2510,
101879,5226,647
101897,1902,
101912,1700,50
101949,1088,
101958,21,
101994,428,
102030,2351,
102049,3346,919
102058,210,7
102067,3610,
102076,2121,
102094,10931,4124
102234,1396,62
102261,122,
102270,730,
102298,894,
102313,1254,
102368,11078,2420
102377,2460,196
102395,101,163
102429,2850,
102553,10742,873
102580,26,
102614,5152,773
102632,1367,322
102669,249,133
102711,295,
102845,7157,47
103501,654,
103741,122,
103778,,335
103811,915,
103893,621,
103909,608,
103927,308,
103945,161,
103954,55,
103963,676,
104090,790,83
104151,42226,7675
104160,5575,
104179,33080,5918
104188,140,8
104346,3949,
104364,356,
104391,60,
104425,7047,
104434,56,
104443,77,
104504,193,
104568,558,
104577,3620,
104586,2211,40
104665,,7
104708,11281,
104717,39085,24265
104911,94,
105145,3128,
105154,12197,
105206,2632,
105215,1865,
105297,972,
105330,22619,2560
105349,1908,
105367,307,262
105428,6621,
105482,150,
105525,14489,
105534,2855,
105543,1371,
105589,366,272
105659,909,
105668,12346,
105677,55,
105701,38,
105747,5288,
105792,2318,
105899,637,
105987,340,
106041,3055,
106102,692,314
106111,153,
106148,3802,
106245,7042,1315
106263,633,891
106281,27,
106306,891,
106315,104,
106324,28,
106342,617,
106351,192,
106360,29,
106397,20922,2880
106412,2431,71
106449,2899,
106458,8845,3415
106467,8588,592
106485,2560,161
106494,56,
106546,813,
106625,1226,
106704,9136,1227
106713,701,
106795,965,
106810,196,
106829,277,
106883,752,
106892,303,
106908,453,
106980,1591,
106999,963,
107044,4365,797
107071,2960,284
107080,1432,10
107099,45,
107123,138,
107141,1666,440
107211,33,
107220,269,
107293,85,
107318,1069,
107327,917,
107363,39,
107442,66,
107460,1314,
107488,332,
107512,1458,
107521,805,
107549,813,
107558,645,
107585,1529,
107600,593,
107619,942,
107637,1034,
107655,33,
107664,5158,
107725,947,
107743,551,
107789,151,
107831,80,
107840,216,
107877,487,
107974,1091,
107983,2927,943
107992,1084,
108065,24,
108092,5403,6
108232,6470,3352
108269,,193
108348,17,
108649,259,
108667,3097,
108807,6744,
108852,338,
108861,,39
108870,,336
108977,115,
109040,2004,
109086,24,57
109208,19477,
109350,9150,
109651,2204,259
109721,281,
109730,165,
109785,5925,3900
109819,12338,
109907,2111,
109934,222,
110060,208,56
110097,4273,1105
110194,194,
110219,2223,0
110246,8234,
110307,,295
110316,125,1193
110334,7564,
