UNITID,EFTEUG,EFTEGD
100654,3977,828
100663,10174,4933
100690,255,158
100706,5290,1144
100724,4652,394
100751,30618,3709
100760,1396,0
100812,2331,0
100830,3522,437
100858,21208,3418
100937,1486,0
101028,1360,0
101073,387,0
101116,475,92
101143,1445,0
101161,3838,0
101189,2594,427
101240,3898,0
101277,83,0
101286,3494,0
101295,4291,0
101301,1412,0
101365,375,8
101435,1054,0
101453,39,16
101462,726,0
101471,561,0
101480,6203,652
101499,954,0
101505,5664,0
101514,7013,0
101541,303,0
101569,2493,0
101587,1765,1356
101602,1391,0
101648,472,0
101675,1880,0
101693,1394,83
101709,2317,354
101736,2510,0
101879,5226,647
101897,1902,0
101912,1700,50
101949,1088,0
101958,21,0
101994,428,0
102030,2351,0
102049,3346,919
102058,210,7
102067,3610,0
102076,2121,0
102094,10931,4124
102234,1396,62
102261,122,0
102270,730,0
102298,894,0
102313,1254,0
102368,11078,2420
102377,2460,196
102395,101,163
102429,2850,0
102553,10742,873
102580,26,0
102614,5152,773
102632,1367,322
102669,249,133
102711,295,0
102845,7157,47
103501,654,0
103741,122,0
103778,0,335
103811,915,0
103893,621,0
103909,608,0
103927,308,0
103945,161,0
103954,55,0
103963,676,0
104090,790,83
104151,42226,7675
104160,5575,0
104179,33080,5918
104188,140,8
104346,3949,0
104364,356,0
104391,60,0
104425,7047,0
104434,56,0
104443,77,0
104504,193,0
104568,558,0
104577,3620,0
104586,2211,40
104665,0,7
104708,11281,0
104717,39085,24265
104911,94,0
105145,3128,0
105154,12197,0
105206,2632,0
105215,1865,0
105297,972,0
105330,22619,2560
105349,1908,0
105367,307,262
105428,6621,0
105482,150,0
105525,14489,0
105534,2855,0
105543,1371,0
105589,366,272
105659,909,0
105668,12346,0
105677,55,0
105701,38,0
105747,5288,0
105792,2318,0
105899,637,0
105987,340,0
106041,3055,0
106102,692,314
106111,153,0
106148,3802,0
106245,7042,1315
106263,633,891
106281,27,0
106306,891,0
106315,104,0
106324,28,0
106342,617,0
106351,192,0
106360,29,0
106397,20922,2880
106412,2431,71
106449,2899,0
106458,8845,3415
106467,8588,592
106485,2560,161
106494,56,0
106546,813,0
106625,1226,0
106704,9136,1227
106713,701,0
106795,965,0
106810,196,0
106829,277,0
106883,752,0
106892,303,0
106908,453,0
106980,1591,0
106999,963,0
107044,4365,797
107071,2960,284
107080,1432,10
107099,45,0
107123,138,0
107141,1666,440
107211,33,0
107220,269,0
107293,85,0
107318,1069,0
107327,917,0
107363,39,0
107442,66,0
107460,1314,0
107488,332,0
107512,1458,0
107521,805,0
107549,813,0
107558,645,0
107585,1529,0
107600,593,0
107619,942,0
107637,1034,0
107655,33,0
107664,5158,0
107725,947,0
107743,551,0
107789,151,0
107831,80,0
107840,216,0
107877,487,0
107974,1091,0
107983,2927,943
107992,1084,0
108065,24,0
108092,5403,6
108232,6470,3352
108269,0,193
108348,17,0
108649,259,0
108667,3097,0
108807,6744,0
108852,338,0
108861,0,39
108870,0,336
