UNITID,F2A01,F2B04,F2B06,F2C03,F2C04,F2C06,F2D01,F2D02,F2D03,F2D04,F2E011,F2E012
100690,8497541,140398,0,0,0,643842,6819566,0,0,0,2237380,1503814
100937,53819454,-6022586,0,0,0,22893975,14911414,0,0,0,14131839,8480745
101073,2045197,-1846562,0,190249,0,940411,3029816,0,0,0,3618356,1374975
101189,19448450,-2309821,0,703334,0,11209190,35249374,0,0,0,17906656,10892397
101435,46991541,-1609431,0,407782,0,6057223,11228286,0,0,0,6823409,4283170
101453,10826913,-109496,0,0,0,0,578518,0,0,0,514727,408937
101541,14852087,-1744758,0,160281,0,1065067,2169890,0,0,0,3358769,2182543
101675,19334286,360797,0,274964,0,2736089,9714075,0,0,0,8237998,5994725
101693,19853595,-1816547,0,209596,0,11223290,14236082,147250,0,0,9595251,5497539
101912,17848961,1338890,0,82653,0,142528,21333870,0,0,0,11628053,7574021
102049,280097755,-42414703,0,0,0,37400000,102726460,0,0,0,81353412,44869290
102058,0,716181,0,0,0,0,1789523,1385268,0,0,1110105,768603
102234,32375193,332413,0,0,0,28591366,17582594,0,0,0,10598890,6962463
102261,1518701,-1200271,0,0,0,0,1340130,0,0,0,745346,662915
102270,17949983,-2297442,0,328127,0,2164726,6113310,0,0,0,3433378,2449944
102298,53222206,1124496,0,1251161,0,3716656,7081382,0,1251161,0,4151193,2566735
102377,147046024,-3162704,0,357309,0,16729875,46080705,0,9758224,0,40680821,21846224
102395,16560194,715350,0,10931,0,98505,3814743,0,0,0,1074922,426993
102580,41821,766497,-1532994,13889,0,1250,227310,0,0,0,218281,117071
102669,88442076,-3056251,0,58500,0,1260603,5229155,0,0,0,4990701,2794415
103945,0,159176,-90969,0,0,0,2971771,0,0,0,810250,627348
104586,,,,92461,0,958000,59631000,0,0,0,28520750,14808473
104665,,,,0,0,0,571200,0,0,0,365581,301421
105589,2186171,222849,0,224189,0,3301811,11096279,0,0,0,5054945,3036049
105899,1035295,-1438852,0,0,0,6227167,5931882,0,0,0,3735131,2217737
106306,176835,571497,0,393728,0,0,8545291,0,0,0,2906487,1950641
106342,47063380,12965453,0,1480250,0,0,6710722,0,0,0,6441681,3530993
106546,,,,269877,0,0,3312956,0,0,0,6174713,4414690
106713,2592742,-1461273,0,0,0,2426624,6391650,0,0,0,2443797,2060788
106810,714262,130298,0,134772,1000,550491,1595483,0,0,0,653604,535696
107044,130811824,8300888,0,2995437,0,22423695,74490651,0,0,0,50413757,26713482
