UNITID,F3A01,F3B04,F3B06,F3B08,F3C03,F3C03A,F3C03B,F3C04,F3C06,F3D01,F3D02,F3D02A,F3D02B,F3D03,F3D03A,F3D03B,F3D03C,F3D04,F3D12,F3E02A1,F3E02A2
101116,6025445,-936646,3356055,1657038,3734,3734,0,1001803,4168509,8110418,3162972,0,3162972,3734,0,3734,0,0,0,0,0
101277,,,,,0,0,0,0,0,749194,0,0,0,0,0,0,0,0,,0,0
101365,3745210,-262983,0,-262988,12872,12872,0,436416,436416,4154099,0,0,0,0,0,0,0,0,0,0,0
101958,4361215,-385793,5244312,4132659,0,0,0,0,0,1032234,0,0,0,0,0,0,0,0,,0,0
102845,52791820,5126418,37476672,42603090,271084,267890,3194,6465652,6465652,51370935,0,0,0,0,0,0,0,0,0,0,0
103501,5510099,104721,3671868,3364798,480942,480942,0,3500,0,5320888,0,0,0,0,0,0,0,0,,0,0
103741,,,,,88909,88909,0,16800,0,1012645,0,0,0,0,0,0,0,0,,0,0
103811,,,,,0,0,0,0,0,7449670,0,0,0,0,0,0,0,0,,0,0
103893,,,,,299227,299227,0,62032,62032,8993725,0,0,0,0,0,0,0,0,,0,0
103909,,,,,447462,447462,0,26384,26384,9505583,0,0,0,0,0,0,0,0,,0,0
103927,,,,,77081,77081,0,13060,13060,4504226,0,0,0,0,0,0,0,0,,0,0
103954,,,,,0,0,0,0,0,334898,0,0,0,0,0,0,0,0,,0,0
103963,,,,,0,0,0,0,0,12027362,0,0,0,0,0,0,0,0,,0,0
104090,16017414,261037,5016935,5173694,0,0,0,1025786,0,37053925,0,0,0,0,0,0,0,0,0,0,0
104188,4107305,310104,3099328,3599838,0,0,0,0,228175,6039688,0,0,0,0,0,0,0,0,0,0,0
104364,1813696,536609,1175217,1003586,22955,22955,0,67900,2821253,3512946,2730398,0,2730398,22955,0,22955,0,0,0,0,0
104391,,,,,0,0,0,0,0,583249,0,0,0,0,0,0,0,0,,0,0
104434,,,,,118,118,0,10100,0,437839,0,0,0,0,0,0,0,0,,0,0
104443,,,,,41589,41589,0,4070,0,635422,0,0,0,0,0,0,0,0,,0,0
104504,,,,,0,0,0,16750,0,1181360,0,0,0,0,0,0,0,0,,0,0
104568,,,,,0,0,0,0,0,3962013,0,0,0,0,0,0,0,0,,0,0
104717,898430210,131411396,476232670,610252203,0,0,0,163892990,163892990,687390846,0,0,0,0,0,0,0,0,0,0,0
104911,,,,,0,0,0,0,0,340327,0,0,0,0,0,0,0,0,,0,0
105215,,,,,2000,2000,0,-1054000,1054000,19963000,0,0,0,0,0,0,0,0,,0,0
105482,,,,,0,0,0,8298,0,1060489,0,0,0,0,0,0,0,0,,0,0
105534,10678969,4306148,9492918,8575227,21565,21565,0,73926,0,19816858,4285984,0,4285984,21565,0,21565,0,73926,0,0,0
105543,6825966,1181778,5025266,3441701,0,0,0,30543,0,9466043,2991367,0,2991367,0,0,0,0,30543,,0,0
