UNITID,TUITION1,TUITION2
100654,8130,8130
100663,8040,8040
100690,9000,9000
100706,8996,8996
100724,6936,6936
100751,10470,10470
100760,3510,3510
100812,5730,5730
100830,8880,8880
100858,9072,9072
100937,33200,33200
101028,3510,3510
101073,9920,9920
101116,17210,17210
101143,3510,3510
101161,3510,3510
101189,18320,18320
101240,3510,3510
101286,3510,3510
101295,3510,3510
101301,3510,3510
101365,12560,12560
101435,23237,23237
101453,8952,8952
101462,3510,3510
101471,4212,4212
101480,9000,9000
101499,3510,3510
101505,3510,3510
101514,3510,3510
101541,16248,16248
101569,3510,3510
101587,7286,7286
101602,3510,3510
101648,6000,6000
101675,10632,10632
101693,20200,20200
101709,11370,11370
101736,3510,3510
101879,6336,6336
101897,3510,3510
101912,15714,15714
101949,3510,3510
101958,9450,9450
101994,3510,3510
102030,3510,3510
102049,28552,28552
102058,5491,5491
102067,3510,3510
102076,3510,3510
102094,7248,7248
102234,33634,33634
102261,11340,11340
102270,9548,9548
102298,11192,11192
102313,3510,3510
102368,7224,7224
102377,18560,18560
102395,14220,14220
102429,3510,3510
102553,5936,5936
102580,9000,9000
102614,5936,5936
102632,5936,5936
102669,19900,19900
102845,21004,21004
103778,.,.
103945,18021,18021
104151,9684,9684
104160,1920,1920
104179,10160,10160
104188,22944,22944
104346,2520,2520
104364,12708,12708
104425,1896,1896
104577,2400,2400
104586,32592,32592
104665,.,.
104708,2064,2064
104717,16385,16385
105145,2064,2064
105154,2064,2064
105206,2430,2430
105297,660,660
105330,8698,8698
105349,1680,1680
105367,11880,11880
105428,2064,2064
105525,1884,1884
105589,27528,27528
105668,2064,2064
105747,2064,2064
105792,2064,2064
105899,22986,22986
106102,6000,6000
106148,2280,2280
106245,6495,6495
106263,6300,6300
106306,8760,8760
106342,26050,26050
106397,7204,7204
106412,4710,4710
106449,2352,2352
106458,6060,6060
106467,5256,5256
106485,4650,4650
106546,8104,8104
106625,2136,2136
106704,6223,6223
106713,13500,13500
106795,2055,2445
106810,10500,10500
106829,1350,1350
106883,2520,2820
106980,2640,2940
106999,1680,1980
107044,17940,17940
107071,6420,6450
107080,42090,42090
107141,24218,24218
107318,2160,2160
107327,1876,2156
107460,1632,2208
107488,1890,1890
107512,24400,24400
107521,2790,2790
107549,2112,2112
107558,23750,23750
107585,2610,2850
107600,11804,11804
107619,2100,2490
107637,2640,2640
107664,3900,3900
107725,1920,2130
107743,1848,2184
107840,4104,4104
107877,16200,16200
107974,1992,2304
107983,6690,6690
107992,3240,3240
108092,3840,3840
108232,20952,20952
108269,.,.
108667,1104,1104
108807,1288,1288
108852,32440,32440
108861,.,.
108870,.,.
109086,27600,27600
109208,0,0
109350,1104,1104
109651,40046,40046
109785,35540,35540
109819,1288,1288
109907,1104,1104
110060,7250,7250
110097,36696,36696
110219,10962,10962
110246,1104,1104
110307,.,.
110316,27987,27987
110334,1288,1288
110361,29562,29562
110370,44976,44976
110398,.,.
110404,45846,45846
110413,39310,39310
110422,5472,5472
110468,18703,18703
110486,5472,5472
110495,5472,5472
110510,5472,5472
110529,5472,5472
110538,5472,5472
110547,5472,5472
110556,5472,5472
110565,5472,5472
110574,5472,5472
110583,5472,5472
110592,5472,5472
110608,5472,5472
110617,5472,5472
110635,11220,11220
110644,11220,11220
110653,11220,11220
110662,11220,11220
110671,11220,11220
110680,11220,11220
110699,.,.
110705,11220,11220
110714,11220,11220
110778,21360,21360
110918,8400,8400
111009,13254,13254
111081,45030,45030
111188,5472,5472
111391,.,.
111434,1288,1288
111461,1104,1104
111887,1288,1288
111896,1288,1288
111920,0,0
111939,1104,1104
111948,48310,48310
