UNITID,CIPTUIT1,CHG1PY0,CHG1PY1,CHG1PY2,CHG1PY3
101277,.,9150,10050,10050,10050
102711,.,3025,3025,3025,3250
103501,.,13693,14290,14965,15315
103741,.,16000,16750,16750,17424
103811,.,9150,9150,9450,9450
103893,.,14287,14283,14265,14128
103909,.,14287,14283,14265,14128
103927,.,14287,14283,14265,14128
103954,.,14060,14500,14500,14500
103963,.,19220,19220,19220,19220
104090,.,85000,85000,85000,85000
104391,.,11100,11100,11500,11500
104434,.,16000,16750,16750,17424
104443,.,16672,17422,17422,17424
104504,.,11194,11194,11194,11254
104568,.,16000,16000,16000,16000
104911,.,15495,15495,15495,15495
105215,.,26300,26850,26950,27100
105482,.,11194,11194,11194,11254
105534,.,11397,11734,12024,12380
105543,.,11397,11734,12024,12380
105659,.,18150,18650,18650,19350
105677,.,10450,10450,10950,10980
105701,.,9450,14410,11340,13608
105987,.,14682,14682,14682,14682
106041,.,40900,41900,42950,43950
106111,.,16000,16750,16950,17424
106281,.,11800,12400,12400,12400
106315,.,14250,16125,16125,18540
106324,.,10195,12900,14400,14400
106351,.,14270,16500,16750,16750
106360,.,11420,13045,13045,13045
106494,.,11420,13045,13045,13045
106892,.,9960,9960,10700,10700
106908,.,15250,15500,15500,15500
107099,.,13100,13100,13100,13500
107123,9637,.,.,.,.
107211,.,13870,13870,13870,13870
107220,.,12950,13695,13695,13695
107293,.,15000,15000,15000,15000
107363,.,10545,10545,10545,10545
107442,.,13350,15825,15825,15825
107655,.,13850,14350,14350,14350
107789,.,13500,13500,13500,14250
107831,.,13200,13200,14070,14900
108065,.,7500,9750,14562,13712
108348,.,15300,15300,15300,15300
108649,.,16000,16000,19200,19200
108977,.,16100,16100,16100,16100
109040,.,16950,16950,16950,17650
109721,.,14900,17000,17000,17000
109730,.,17008,17008,17000,17000
109934,.,20850,21350,21650,22522
110194,.,14038,14045,15215,15215
110875,.,15180,15180,15172,16900
111054,.,15125,15200,15125,16625
111513,.,16935,16935,17725,17600
111638,.,28256,28265,28765,29037
111708,.,10165,11182,11182,12182
111717,.,9958,10954,10954,11954
111726,.,10165,11182,11182,12182
111744,.,10165,11182,11182,12182
111762,.,8624,9486,9486,10486
111799,.,9958,10954,10954,11954
112181,.,10000,10000,10000,10000
112288,.,11907,12482,12518,12464
112367,.,10500,12000,12000,12000
112455,.,16753,16910,20000,20000
113449,.,16000,16000,16000,16000
114044,.,16750,16750,17500,18000
114123,.,17700,17700,19650,19650
114460,.,15322,15694,16405,16405
114628,.,10075,10075,12000,13950
114637,.,11156,11156,11350,11250
114761,.,10500,11200,12900,13700
114947,.,19510,19613,21134,21134
115010,.,28525,31100,31800,33247
115357,.,18400,18400,18400,18400
115658,.,11860,12280,12280,11880
115931,.,13661,13661,13611,13604
116350,.,16900,17900,18900,18900
116563,.,9000,9000,9050,9050
117238,.,15500,15500,16000,16000
117955,.,17700,17750,17200,17450
118134,.,16000,16084,16065,16075
118143,.,16084,16084,16075,16075
118161,.,19219,19437,19531,19622
118189,.,8200,9000,9000,9000
118198,.,13280,13900,14250,14530
118259,.,14236,14236,14228,14403
118277,.,16249,16249,16240,16415
118286,.,14987,14987,14979,15154
118958,.,16451,16235,16235,16409
118967,.,19760,19760,19749,19849
118994,.,13999,13999,14842,15842
119553,.,14341,14981,15206,15358
119845,.,14483,14483,17675,17700
119951,.,15085,15085,15573,15573
120069,.,28525,31100,30784,33247
120078,.,28525,31100,30784,33247
120087,.,28525,31100,30724,33247
120272,.,14603,15404,17050,17850
120661,.,30297,30801,30900,31100
121433,.,12882,14475,14475,14475
121637,.,11050,11550,11550,12050
121859,.,18400,18400,18400,18400
121868,.,18400,18400,18400,18400
121992,.,9139,9455,9591,9701
122685,.,29750,30250,30250,30175
123350,.,9100,9100,9100,9300
123493,.,6950,7090,7090,7090
123642,.,44690,42750,42849,47389
123679,.,13731,13776,13000,14130
124681,.,18300,19500,19500,19500
124706,.,14984,13741,13000,14155
124779,.,16200,16200,16200,16200
124937,.,14695,14993,15100,15200
125082,.,16884,16884,16884,16884
125310,.,13032,14475,16075,16075
125532,.,42277,42277,42277,42458
126164,.,18190,18190,18190,18190
126687,.,14836,15598,14700,14900
126784,.,19961,20520,20520,20520
126915,.,6365,6365,6123,6498
126951,.,28984,29029,29614,30568
127158,.,7490,8465,8197,8752
127219,.,18380,18380,18380,18080
127228,.,16500,16500,16500,16500
127316,.,15565,15565,15565,15565
127839,.,21964,22964,32640,32640
127954,.,6900,7200,7500,7750
128179,.,28873,27935,27900,28650
128188,.,25707,25200,25215,14483
128337,.,18000,18750,18750,18756
128540,.,15000,16000,17000,17000
128674,.,16357,16327,16647,13650
128896,.,14285,14285,14295,14330
129181,.,29645,30238,30836,31357
129349,.,18500,19500,19500,19500
129482,.,18520,18495,18495,18495
129923,.,31475,31475,31475,28057
129932,.,10295,10295,10295,10295
129969,.,16960,16960,19960,19960
130509,.,26925,27600,27600,27625
130873,.,14358,14939,15035,15000
131061,.,13750,14525,14525,14525
132268,.,26500,26500,26500,27295
132374,.,4565,4565,4565,4565
132675,.,2773,2773,2805,2802
132806,.,19955,3500,3500,3500
133155,.,4567,4567,4617,4916
133845,.,38390,38990,38990,40060
133854,.,14792,15023,14900,14990
133863,.,14622,15108,14700,14790
133942,17500,.,.,.,.
133997,.,18000,18000,19238,19350
134024,.,10000,10000,11200,11200
134112,.,17439,17439,17439,17439
134228,.,6945,6945,6995,8995
134291,.,2874,2874,2891,2891
134307,.,3906,3846,3846,3960
134529,.,13200,14862,14382,15582
134574,.,11506,11651,11651,11181
134714,.,15900,15900,15900,16200
135124,.,23908,23973,23973,14381
135142,.,14832,14850,14912,14912
135179,.,4441,4733,4558,4707
135267,.,2197,2197,2197,2315
135276,.,6487,6215,5911,5987
135294,.,3500,4067,5055,4891
135337,.,15650,15650,15650,15650
135407,.,4890,4830,4566,4566
135559,.,10800,10800,10800,10800
135647,.,2250,2250,2250,2250
135735,.,2023,2023,2023,2178
135771,.,14017,16111,16111,14573
136109,.,12600,12600,12600,12430
136303,.,3979,3945,3930,3965
136491,.,6745,6719,6623,6831
136659,.,3254,3254,3254,3318
136783,.,12600,12600,12600,12600
136826,.,2491,2478,3571,3927
137023,.,5829,5838,5878,5856
137087,.,3942,3942,3942,3942
137120,.,5653,5772,5798,5886
137245,.,4209,4209,4209,4209
137591,.,14600,15550,16950,16950
137713,.,3379,3379,3379,3379
137856,.,5594,5698,4564,4494
137865,.,4540,4535,4540,4540
138132,.,13150,13750,14250,14650
138284,.,4017,3773,3773,3773
138372,.,3422,3467,3484,3507
138479,.,4290,4209,4290,4209
138488,.,3717,3734,3859,4556
138497,.,2775,2798,2780,2814
138822,.,18745,18700,18700,18700
138938,.,11956,11855,11975,11975
139506,.,18725,18550,19100,19100
141608,.,13237,13237,13237,13237
141848,.,15700,15700,15700,15700
141945,.,13691,13691,14737,14737
142054,.,54125,54125,54125,54030
142407,.,12500,13500,13500,14500
142416,.,14605,14605,14605,14605
142489,.,10250,10550,12550,12550
142869,.,12650,12650,12650,12600
142878,.,12600,12600,12600,12600
143181,.,13650,13650,14000,14600
143303,9060,.,.,.,.
143376,.,16948,17390,17912,19480
143464,.,17425,17425,17425,17425
143473,.,10340,10490,10740,10740
143482,.,12340,12490,13010,13810
143491,.,10340,10490,10740,10740
143516,.,12340,12490,12740,13740
143543,.,17595,18345,18495,18150
143552,.,18200,18300,18300,18250
143695,.,18660,18660,18660,18660
144485,.,14956,15712,15687,16195
144573,.,13650,13650,14000,14600
144795,.,14500,14500,15000,14000
145099,.,14755,14830,14830,15050
145309,.,13975,14875,14875,14875
145406,.,12856,15023,15023,12243
145424,.,16950,16950,16950,16950
145433,.,17450,17450,18450,18450
146454,.,17175,17175,16075,16775
146700,.,31502,32452,33316,34137
146807,.,15000,15000,15000,15000
147439,.,15095,15095,15095,15095
147642,.,10000,9700,9600,9600
147819,.,14425,15300,15450,15450
148098,.,16100,16100,17100,17100
148955,.,10325,10900,11250,13300
149204,.,17175,17175,16775,16775
149499,.,12900,13200,13500,13510
149550,.,17100,17100,17100,17100
150075,.,8600,8600,8600,8600
150303,.,18800,19400,19982,19982
150428,.,16150,17275,17800,16500
150437,.,16100,17100,17100,16500
150695,.,14650,14650,14650,14760
150710,.,15650,15650,15650,15650
150765,.,12350,12610,12610,12610
150853,.,15100,15100,15100,15100
151564,.,4990,5230,5270,5310
151607,.,14100,16900,17507,17407
151652,.,15645,16395,16395,17250
151661,.,25831,27950,28522,29342
152044,.,8216,13700,13700,13700
152150,.,15100,15100,15100,15100
152275,.,11800,12300,12950,13850
152309,.,14850,14850,14850,14850
152327,.,12375,12375,12885,15630
152415,.,15555,15555,15555,15805
152628,.,11020,11075,11075,11075
153074,.,16780,17280,17280,17280
153083,.,16780,17280,17280,17280
