UNITID,CNTLAFFI,PUBPRIME,PUBSECON,RELAFFIL,ATHASSOC,ASSOC1,ASSOC2,ASSOC3,ASSOC4,ASSOC5,ASSOC6,SPORT1,CONFNO1,SPORT2,CONFNO2,SPORT3,CONFNO3,SPORT4,CONFNO4 
100654,1,2,0,-2,1,1,0,0,0,0,0,1,133,1,133,1,133,1,200
100663,1,2,0,-2,1,1,0,0,0,0,0,1,111,1,111,1,111,1,111
100690,4,-2,-2,74,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
100706,1,2,0,-2,1,1,0,0,0,0,0,2,-2,1,146,1,146,1,146
100724,1,2,0,-2,1,1,0,0,0,0,0,1,133,1,133,1,133,1,133
100733,1,2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
100751,1,2,0,-2,1,1,0,0,0,0,0,1,130,1,130,1,130,1,130
100760,1,2,0,-2,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2
100812,1,2,0,-2,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
100830,1,2,0,-2,1,1,0,0,0,0,0,2,-2,1,335,1,335,1,335
100858,1,2,0,-2,1,1,0,0,0,0,0,1,130,1,130,1,130,1,130
100937,4,-2,-2,71,1,1,0,0,0,0,0,1,368,1,368,1,368,1,368
101028,1,2,0,-2,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2
101073,4,-2,-2,68,1,0,0,0,1,0,0,2,-2,2,-2,2,-2,2,-2
101116,2,-2,-2,-2,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
101143,1,2,0,-2,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2
101161,1,2,0,-2,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2
101189,4,-2,-2,74,1,0,1,0,0,0,0,1,315,1,334,1,334,2,-2
101240,1,2,0,-2,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2
101277,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
101286,1,2,0,-2,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2
101295,1,2,0,-2,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2
101301,1,2,0,-2,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2
101365,2,-2,-2,-2,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
101435,4,-2,-2,71,1,1,0,0,0,0,0,1,171,1,171,1,171,2,-2
101453,4,-2,-2,74,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
101462,1,2,0,-2,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
101471,1,2,0,-2,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
101480,1,2,0,-2,1,1,0,0,0,0,0,1,126,1,126,1,126,1,126
101499,1,2,0,-2,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2
101505,1,2,0,-2,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2
101514,1,2,0,-2,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2
101541,4,-2,-2,54,1,0,0,0,1,0,0,2,-2,2,-2,2,-2,2,-2
101569,1,2,0,-2,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2
101587,1,2,0,-2,1,1,0,0,0,0,1,1,146,1,146,1,146,1,146
101602,1,2,9,-2,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2
101648,1,2,0,-2,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2
