UNITID,SAOUTLT
100654,3806802
100654,4320723
100654,5956380
100654,1682659
100654,236097
100654,16002661
100663,36167639
100663,26248507
100663,24043382
100663,8446662
100663,94906190
100690,536575
100690,719100
100690,163600
100690,61850
100690,1481125
100706,8822484
100706,9542993
100706,6783607
100706,637195
100706,3255385
100706,29041664
100724,5612825
100724,5684602
100724,4858554
100724,2228524
100724,341294
100724,18725799
100751,44176706
100751,32273145
100751,31965198
100751,16273580
100751,1524151
100751,126212780
100760,2789322
100760,2789322
100812,2202441
100812,1806948
100812,2338339
100812,77770
100812,6425498
100830,4539500
100830,3993850
100830,4430450
100830,483550
100830,1517920
100830,14965270
100858,55484759
100858,35249098
100858,24392031
100858,2578315
100858,5124750
100858,122828953
100937,3097609
100937,1111957
100937,1532682
100937,401449
100937,40521
100937,6184218
101028,2176120
101028,2176120
101073,97000
101073,126000
101073,954000
101073,1177000
101116,205678
101116,322111
101116,527789
101143,2906255
101143,2906255
101161,5620369
101161,5620369
101189,2825846
101189,2132397
101189,1321943
101189,367661
101189,468663
101189,82500
101189,7199010
101240,8016279
101240,8016279
101286,6843111
101286,6843111
101295,6777642
101295,6777642
101301,2539841
101301,2539841
101365,393625
101365,239424
101365,633049
101435,845574
101435,535052
101435,1124236
101435,233822
101435,2738684
101453,239075
101453,239075
101462,1617915
101462,1617915
101471,2179463
101471,2179463
101480,7507965
101480,4271480
101480,4098067
101480,4354668
101480,20232180
101499,1825941
101499,1825941
101505,8494815
101505,8494815
101514,8083210
101514,8083210
101541,135217
101541,404522
101541,1046716
101541,1586455
101569,4617601
101569,4617601
101587,1433595
101587,2292994
101587,2342980
101587,999859
101587,107844
101587,190197
101587,7367469
101602,2765464
101602,2765464
101648,1147907
101648,1147907
101675,421091
101675,459588
101675,1203237
101675,1776054
101675,3859970
101693,1111157
101693,874341
101693,1349010
101693,219099
101693,3553607
101709,3458733
101709,2691627
101709,3385519
101709,537184
101709,10073063
101736,3872913
101736,3872913
101879,5746467
101879,4054138
101879,5260849
101879,1555095
101879,69562
101879,16686111
101897,3411522
101897,3411522
101912,1134105
101912,1988307
101912,2122131
101912,41236
101912,5285779
101949,2104469
101949,2104469
101994,1023493
101994,1023493
102030,4250607
102030,4250607
102049,12881455
102049,7883694
102049,8088556
102049,1396719
102049,30250424
102058,110000
102058,78200
102058,112000
102058,300200
102067,5246465
102067,5246465
102076,2460516
102076,2460516
102094,10574014
102094,9367762
102094,15704903
102094,7834463
102094,43481142
102234,792674
102234,2375759
102234,1793525
102234,260557
102234,5222515
102261,208509
102261,157000
102261,365509
102270,446913
102270,887509
102270,805650
102270,238000
102270,2378072
102298,327370
102298,697091
102298,956000
102298,266000
102298,2246461
102313,2542432
102313,2542432
102368,4426542
102368,8577448
102368,10907913
102368,43505
102368,7740431
102368,99213
102368,31795052
102377,5129996
102377,4161419
102377,1943664
102377,191455
102377,267322
102377,1139344
102377,12833200
102395,155737
102395,198840
102395,45000
102395,399577
102429,6638348
102429,6638348
102553,12494769
102553,12043427
102553,13675467
102553,1912010
102553,0
102553,40125673
102580,64917
102580,64917
102614,9733872
102614,9250216
102614,8748851
102614,2168421
102614,456896
102614,30358256
102632,1377324
102632,2053152
102632,4104576
102632,0
102632,7535052
102669,541866
102669,442201
102669,494283
102669,1478350
102845,3980201
102845,3980201
103501,373162
103501,373162
103778,1430000
103778,1620359
103778,420000
103778,46000
103778,3516359
103893,554070
103893,554070
103909,359564
103909,359564
103945,171072
103945,171072
104090,2183431
104090,2183431
104151,87294992
104151,46210532
104151,39413874
104151,7729681
104151,16886060
104151,330000
104151,197865139
104160,7213538
104160,7213538
104179,84451857
104179,36374577
104179,33665053
104179,3202368
104179,8824366
104179,367603
104179,166885824
104188,401320
104188,401320
104346,6046334
104346,6046334
104364,161000
104364,161000
104425,5816747
104425,5816747
104577,7137281
104577,7137281
104586,1488010
104586,2956501
104586,4128893
104586,166458
104586,8739862
104665,93600
104665,93600
104708,22363217
104708,22363217
104717,530109
104717,1681247
104717,5833827
104717,15819712
104717,23864895
105145,8981002
105145,8981002
105154,25666765
105154,25666765
105206,4585097
105206,4585097
105297,4187595
105297,4187595
105330,30866557
105330,15710551
105330,15877709
105330,2862584
105330,14835790
105330,80153191
105349,4354218
105349,4354218
105367,167683
105367,220311
105367,53040
105367,441034
105428,12508519
105428,12508519
105525,18884973
105525,18884973
105534,2980733
105534,2980733
105543,2242346
105543,2242346
105589,1279818
105589,179183
105589,236123
105589,20000
105589,1715124
105659,889776
105659,889776
105668,2225594
105668,2225594
105747,13591623
105747,13591623
105792,4918325
105792,4918325
105899,148234
105899,388990
105899,173226
105899,132091
105899,842541
106041,4089470
106041,4089470
106102,712709
106102,712709
106148,6371495
106148,6371495
106245,13838331
106245,8145369
106245,5827412
106245,3101168
106245,46688
106245,1523777
106245,32482745
106263,2308949
106263,4349957
106263,8781038
106263,148581
106263,15588525
106306,48410
106306,990681
106306,1039091
106342,654192
106342,614018
106342,1185679
106342,2453889
106397,45688211
106397,21485011
106397,19647964
106397,16818719
106397,3860665
106397,107500570
106412,1856023
106412,2214070
106412,2334709
106412,3194694
106412,9599496
106449,359736
106449,540724
106449,1611577
106449,3223511
106449,5735548
106458,9288483
106458,8102468
106458,10111255
106458,4854313
106458,32356519
106467,5898763
106467,6035377
106467,5818466
106467,1729328
106467,2616289
106467,22098223
106485,1443025
106485,2114535
106485,1857599
106485,2937192
106485,8352351
106546,3743268
106546,3743268
106625,3004729
106625,3004729
106704,7696116
106704,10258214
106704,7928448
106704,3422766
106704,3641175
106704,2007858
106704,34954577
106713,505285
106713,315416
106713,609546
106713,82346
106713,1512593
106795,1900567
106795,1900567
106810,65976
106810,126539
106810,283366
106810,61721
106810,537602
106883,1686358
106883,1686358
106980,4444069
106980,4444069
106999,1670895
106999,1670895
107044,6114862
107044,6590430
107044,8537447
107044,975229
107044,224655
107044,22442623
107071,3358030
107071,2220298
107071,3409382
107071,1220410
107071,177000
107071,10385120
107080,3451188
107080,1664697
107080,1838972
107080,320086
107080,7274943
107123,588666
107123,588666
107141,1985114
107141,1805580
107141,1766627
107141,98419
107141,5655740
107318,2097359
107318,2097359
107327,2426440
107327,2426440
107460,183203
107460,862830
107460,2119031
107460,3165064
107512,2735600
107512,1384883
107512,1106561
107512,287006
107512,72300
107512,5586350
107521,1579237
107521,1579237
107549,1574672
107549,1574672
107558,1026992
107558,424732
107558,658156
107558,464730
107558,2574610
107585,2613476
107585,2613476
107600,172309
107600,620956
107600,735628
107600,231873
107600,1760766
107619,2557354
107619,2557354
107637,2220161
107637,2220161
107664,6959274
107664,6959274
107725,1880446
107725,1880446
107743,984766
107743,984766
107840,260750
107840,260750
107877,428624
107877,298483
107877,587150
107877,1314257
107974,768166
107974,130018
107974,336203
107974,1370900
107974,50501
107974,2655788
107983,1984040
107983,3072771
107983,3519757
107983,1964740
107983,10541308
107992,1265564
107992,1265564
108092,2365954
108092,4351502
108092,4984843
108092,1939139
108092,57222
108092,1062839
108092,14761499
108232,23808039
108232,23808039
108667,6359029
108667,6359029
108807,13085835
108807,13085835
108852,789449
108852,789449
108861,149000
108861,295291
108861,444291
108870,609556
108870,317350
108870,926906
109040,1870260
109040,1870260
109086,408585
109086,408585
109208,33999876
109208,33999876
109350,6513759
109350,1365285
109350,246327
109350,72943
109350,7108479
109350,15306793
109651,3656551
109651,5595124
109651,845346
109651,10097021
109785,15003459
109785,10306383
109785,15687155
109785,1504942
109785,894247
109785,43396186
109819,25712816
109819,25712816
109907,2172327
109907,765370
109907,390064
109907,120098
109907,3447859
110060,75600
110060,75600
110097,7476314
110097,11126923
110097,4096762
110097,356802
110097,23056801
110219,2032478
110219,2032478
110246,16237635
110246,16237635
110307,235824
110307,464420
110307,160416
110307,860660
110316,2509076
110316,1189971
110316,820419
110316,355146
110316,4874612
110334,15949632
110334,15949632
110361,7540754
110361,7040312
110361,10227793
110361,856825
110361,515871
110361,26181555
110370,2690281
110370,4220890
110370,1448644
110370,8359815
110398,7952826
110398,991254
110398,150000
110398,812500
110398,9906580
110404,58989701
110404,899500
110404,6878250
110404,1104756
110404,1397835
110404,563555
110404,69833597
110413,7030075
110413,4308200
110413,3774950
110413,73500
110413,3288839
110413,18475564
110422,31133364
110422,15274200
110422,14123088
110422,13229988
110422,557280
110422,74317920
110468,4094664
110468,3285403
110468,2271601
110468,49440
110468,61583
110468,9762691
110486,7768818
110486,4355976
110486,5414736
110486,5338596
110486,22878126
110495,11773992
110495,3916272
110495,5858544
110495,3389412
110495,24938220
110510,21330832
110510,5429328
110510,8410764
110510,5339520
110510,378252
110510,40888696
110529,25898520
110529,7503480
110529,14300376
110529,6707004
110529,54409380
110538,20926584
110538,7736196
110538,10656768
110538,5689836
110538,126732
110538,45136116
110547,10731012
110547,5476140
110547,5870256
110547,6279480
110547,28356888
110556,22841820
110556,11304888
110556,14485152
110556,10536156
110556,236760
110556,59404776
110565,33353736
110565,20201940
110565,19672884
110565,14875656
110565,88104216
110574,12544956
110574,8162940
110574,8324580
110574,2931468
110574,31963944
110583,39307632
110583,16848192
110583,17652540
110583,16874028
110583,559008
110583,91241400
110592,29735616
110592,7756692
110592,10289520
110592,9395244
110592,57177072
110608,39289716
110608,13890576
110608,16473360
110608,9393643
110608,1284084
110608,80331379
110617,32643672
110617,10483980
110617,10860648
110617,6732720
110617,427164
110617,61148184
110635,160035046
110635,38842519
110635,28113900
110635,339800
110635,15344174
110635,1561406
110635,244236845
110644,137667006
110644,35191808
110644,28820312
110644,13105006
110644,74870
110644,214859002
110653,93722776
110653,26219962
110653,18156591
110653,16159851
110653,154259180
110662,207502328
110662,37181908
110662,30832723
110662,16396954
110662,879525
110662,292793438
110671,51118555
110671,17941958
110671,21218876
110671,8044858
110671,154940
110671,98479187
110680,102047584
110680,25295065
110680,22726406
110680,14933449
110680,522518
110680,165525022
110699,23567885
110699,7126053
110699,6462022
110699,534415
110699,37690375
110705,88269951
110705,16000964
110705,12728400
110705,12250020
110705,129249335
110714,43820500
110714,14407829
110714,9862648
110714,4343144
110714,527563
110714,72961684
110778,242200
110778,70300
110778,186000
110778,498500
110918,33000
110918,33000
111009,495982
111009,495982
111081,12313664
111081,12313664
111188,1723176
111188,1054824
111188,1657668
111188,913200
111188,5348868
111391,3653346
111391,117456
111391,232000
111391,342659
111391,4345461
111434,7964112
111434,7964112
111461,13503356
111461,467292
111461,3039558
111461,17010206
111638,468744
111638,468744
111887,22350634
111887,22350634
111896,5525062
111896,5525062
111920,17472482
111920,17472482
111939,22158401
111939,22158401
111948,21927148
111948,13428007
111948,13465973
111948,2102851
111948,50923979
111966,438198
111966,1806979
111966,535184
111966,2780361
112075,2138574
112075,932245
112075,2729266
112075,5800085
112084,204720
112084,468885
112084,422016
112084,1095621
112127,74354
112127,196950
112127,271304
112172,16146466
112172,16146466
112190,49440930
112190,49440930
112251,6854835
112251,3649558
112251,1356796
112251,11861189
112260,10332584
112260,6035327
112260,4454806
112260,167413
112260,112147
112260,21102277
112385,4859253
112385,4859253
112394,161271
112394,736575
112394,247279
112394,65920
112394,120000
112394,1331045
112446,873072
112446,873072
112525,6708977
112525,8613125
112525,12876458
112525,884003
112525,29082563
112561,4485482
112561,4485482
112570,215000
112570,215000
112686,8854489
112686,8854489
112826,7149722
112826,7149722
113096,16472995
113096,16472995
113111,6718109
113111,6718109
113193,13007729
113193,13007729
113218,7575995
113218,7575995
113236,25207890
113236,25207890
113333,26492971
113333,26492971
113537,148000
113537,148000
113573,12712229
113573,12712229
113582,334343
113582,334343
113634,23453705
113634,23453705
113698,3458689
113698,1347924
113698,3596284
113698,8402897
113704,279606
113704,90000
113704,50000
113704,419606
113856,32110290
113856,32110290
113980,30337285
113980,30337285
114114,60000
114114,60000
114123,722132
114123,722132
114266,13824214
114266,13824214
114354,4148951
114354,4148951
114390,418556
114390,418556
114433,2108510
114433,2108510
114549,3801272
114549,3801272
114585,40000
114585,40000
114716,18195235
114716,18195235
114734,116360
114734,116360
114789,32463556
114789,32463556
114813,1341291
114813,2462373
114813,3306638
114813,339603
114813,7449905
114840,3744229
114840,1808098
114840,2099703
114840,76000
114840,7728030
114859,38805424
114859,38805424
114938,7594173
114938,7594173
115001,18867362
115001,18867362
115010,472692
115010,562795
115010,495000
115010,1530487
115083,3961178
115083,1210479
115083,1102124
115083,289603
115083,6563384
115126,14178749
115126,14178749
115214,208932
115214,247209
115214,69070
115214,132403
115214,657614
115296,17893251
115296,17893251
115393,10314915
115393,774155
115393,11089070
115409,7550657
115409,2257475
115409,2514502
115409,118000
115409,12440634
115728,669440
115728,1132605
115728,1270646
115728,396503
115728,3469194
115746,3021282
115746,3021282
115755,11525244
115755,3722172
115755,5627076
115755,3509280
115755,24383772
115773,214303
115773,197844
115773,605968
115773,243132
115773,90519
115773,1351766
115861,13197946
115861,13197946
115931,834000
115931,834000
116226,90923
116226,90923
116439,15249848
116439,15249848
116712,2211476
116712,422771
116712,791582
116712,3425829
116846,524445
116846,250913
116846,293310
116846,78120
116846,1146788
117052,16355098
117052,16355098
117104,325602
117104,375065
117104,217836
117104,40143
117104,958646
117113,1332150
117113,1332150
117140,11351975
117140,5401383
117140,6705448
117140,1290050
117140,24748856
117168,412879
117168,681497
117168,601476
117168,1695852
117195,2609674
117195,2609674
117247,12916712
117247,12916712
117274,3041498
117274,3041498
117520,1883850
117520,599600
117520,129000
117520,61400
117520,2673850
117557,258993
117557,443988
117557,36999
117557,739980
117575,227134
117575,227134
117627,2450747
117627,2758307
117627,1963907
117627,25776
117627,607840
117627,7806577
117636,6938959
117636,8731894
117636,16802798
117636,3050463
117636,35524114
117645,25220608
117645,25220608
117672,600554
117672,1027635
117672,1705413
117672,268215
117672,485721
117672,4087538
117690,11233084
117690,11233084
117706,23177459
117706,23177459
117715,8689332
117715,8689332
117724,18580185
117724,18580185
117733,19458066
117733,19458066
117751,1973165
117751,1177214
117751,528249
117751,140000
117751,3818628
117788,20489414
117788,20489414
117803,4141373
117803,4141373
117867,9631878
117867,9631878
117894,10097026
117894,10097026
117928,803963
117928,803963
117946,30935771
117946,16831345
117946,12156202
117946,1251089
117946,61174407
118198,860312
118198,860312
118259,346809
118259,346809
118277,3298667
118277,3298667
118286,720054
118286,720054
118347,12291497
118347,12291497
118541,1163539
118541,488593
118541,446457
118541,2098589
118684,3629744
118684,3629744
118693,1722800
118693,1046100
118693,391000
118693,35700
118693,289100
118693,3484700
118718,15046921
118718,15046921
118772,7132985
118772,7132985
118888,5811235
118888,1631879
118888,1204986
118888,120000
118888,8768100
118912,23560516
118912,23560516
118930,12261013
118930,12261013
118967,698589
118967,698589
118976,21545810
118976,21545810
119058,2649260
119058,1492551
119058,1621372
119058,64765
119058,1470568
119058,7298516
119067,9362711
119067,9362711
119137,15297709
119137,15297709
119164,43925890
119164,43925890
119173,2386473
119173,3046668
119173,4375918
119173,548804
119173,311363
119173,10669226
119216,16887463
