UNITID,LCOLELYN,XLPBOOKS,LPBOOKS,XLEBOOKS,LEBOOKS,XLEDATAB,LEDATAB,XLPMEDIA,LPMEDIA,XLEMEDIA,LEMEDIA,XLPSERIA,LPSERIA,XLESERIA,LESERIA,XLPCOLLC,LPCLLCT,XLECOLLC,LECLLCT,XLTCLLCT,LTCLLCT,XLPCRCLT,LPCRCLT,XLECRCLT,LECRCLT,XLTCRCLT,LTCRCLT,LILLDYN,XLILLDPR,LILLDPR,XLILLDRC,LILLDRC,XLBRANCH,LBRANCH,XSALWAG,LSALWAG,LFRNGBYN,XLFRNGBN,LFRNGBN,XLEXMSBB,LEXMSBB,XLEXMSCS,LEXMSCS,XLEXMSOT,LEXMSOT,XLEXMSTL,LEXMSTL,XLEXOMPS,LEXOMPS,XLEXOMOT,LEXOMOT,XLEXOMTL,LEXOMTL,XLEXPTOT,LEXPTOT,LSWMSOM 
100654,2,"R",200131,"Z",0,"R",96,"R",3695,"R",27239,"R",1151,"R",172961,"R",204977,"R",200296,"R",405273,"R",1559,"R",102660,"R",104219,1,"R",1240,"R",110,"R",1,"R",947554,1,"R",332308,"R",78256,"R",1039435,"R",325025,"R",1442716,"R",17000,"R",96526,"R",113526,"R",2836104,2503796
100663,2,"R",1012806,"R",117458,"R",355,"R",220988,"R",225596,"R",198530,"R",42140,"R",1432324,"R",385549,"R",1817873,"R",20965,"R",76728,"R",97693,1,"R",10553,"R",8540,"R",1,"R",3741852,1,"R",1195082,"R",221000,"R",4601928,"R",0,"R",4822928,"R",0,"R",730891,"R",730891,"R",10490753,9295671
100690,2,"R",48202,"Z",0,"R",12,"Z",0,"Z",0,"R",1218,"Z",0,"R",49420,"R",12,"R",49432,"R",142,"R",37787,"R",37929,1,"R",0,"R",3,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,.
100706,2,"R",239503,"R",387481,"R",133,"R",11957,"R",237,"R",3441,"R",42868,"R",254901,"R",430719,"R",685620,"R",5515,"R",11342,"R",16857,1,"R",2833,"R",3647,"R",0,"R",1066776,2,"Z",0,"R",40839,"R",1288005,"R",34142,"R",1362986,"R",4512,"R",52847,"R",57359,"R",2487121,2487121
100724,2,"R",308151,"R",70758,"R",193,"R",44780,"R",0,"R",1607,"R",4274,"R",354538,"R",75225,"R",429763,"R",2140,"R",5262,"R",7402,1,"R",1267,"R",330,"R",0,"R",1771531,1,"R",352319,"R",76755,"R",480662,"R",0,"R",557417,"R",280,"R",162667,"R",162947,"R",2844214,2491895
100751,2,"R",4011416,"R",1522391,"R",905,"R",191975,"R",50600,"R",727,"R",127820,"R",4204118,"R",1701716,"R",5905834,"R",73135,"R",443403,"R",516538,1,"R",16638,"R",9924,"R",6,"R",7817253,2,"Z",0,"R",961969,"R",9583283,"R",678478,"R",11223730,"R",29613,"R",2613062,"R",2642675,"R",21683658,21683658
100760,2,"R",28465,"R",8656,"R",5,"R",596,"R",0,"R",0,"R",0,"R",29061,"R",8661,"R",37722,"R",605,"R",155,"R",760,1,"R",0,"R",1,"R",2,"R",197074,1,"R",48826,"R",7540,"R",33888,"R",0,"R",41428,"R",0,"R",2000,"R",2000,"R",289328,240502
100812,2,"R",83092,"R",255950,"R",84,"R",428,"R",23955,"R",289,"R",296023,"R",83809,"R",576012,"R",659821,"R",4799,"R",4391,"R",9190,1,"R",100,"R",78,"R",0,"R",483832,1,"R",197075,"R",18746,"R",167606,"R",730,"R",187082,"R",2820,"R",8512,"R",11332,"R",879321,682246
100830,2,"R",502246,"R",718215,"R",152,"R",4401,"R",135,"Z",0,"Z",0,"R",506647,"R",718502,"R",1225149,"R",8037,"R",6892,"R",14929,1,"R",1241,"R",2010,"R",0,"R",1021700,1,"R",299495,"R",31514,"R",434204,"R",92748,"R",558466,"R",100,"R",112779,"R",112879,"R",1992540,1693045
100858,2,"R",1572782,"R",718732,"R",239,"R",607390,"R",20287,"R",76098,"R",73046,"R",2256270,"R",812304,"R",3068574,"R",52371,"R",69399,"R",121770,1,"R",22758,"R",10006,"R",2,"R",4775118,1,"R",1346066,"R",1307385,"R",6834587,"R",10164,"R",8152136,"R",26792,"R",1446306,"R",1473098,"R",15746418,14400352
100937,2,"R",239850,"R",183672,"R",174,"R",32335,"R",6948,"R",5715,"R",12328,"R",277900,"R",203122,"R",481022,"R",4963,"R",5252,"R",10215,1,"R",943,"R",2050,"R",0,"R",476330,1,"R",93599,"R",63802,"R",358653,"R",0,"R",422455,"R",4115,"R",91372,"R",95487,"R",1087871,994272
101028,2,"R",36002,"R",0,"R",1,"R",720,"R",5,"R",215,"R",0,"R",36937,"R",6,"R",36943,"R",1897,"R",50,"R",1947,1,"R",37,"R",38,"R",0,"R",106015,1,"R",51475,"R",7600,"R",17000,"R",396,"R",24996,"R",0,"R",396,"R",396,"R",182882,131407
101073,2,"R",51939,"R",4947,"R",90,"R",2000,"R",500,"R",150,"R",50,"R",54089,"R",5587,"R",59676,"R",186,"R",100,"R",286,1,"R",0,"R",0,"R",0,"R",164256,1,"R",28857,"R",16926,"R",26428,"R",10802,"R",54156,"R",0,"R",5720,"R",5720,"R",252989,224132
101116,2,"R",9942,"R",448950,"R",106,"R",1125,"R",69144,"R",5,"R",131771,"R",11072,"R",649971,"R",661043,"R",798,"R",479415,"R",480213,1,"R",26,"R",49,"R",1,"R",86596,1,"R",20813,"R",15843,"R",25981,"R",978,"R",42802,"R",0,"R",5211,"R",5211,"R",155422,134609
101143,2,"R",54468,"R",5,"R",5,"R",3452,"R",1296,"R",50,"R",0,"R",57970,"R",1306,"R",59276,"R",820,"R",68604,"R",69424,1,"R",11,"R",5,"R",2,"R",181121,1,"R",71772,"R",8521,"R",17142,"R",3937,"R",29600,"R",0,"R",13850,"R",13850,"R",296343,224571
101161,2,"R",69299,"R",157000,"R",63,"R",2943,"Z",0,"R",128,"R",1,"R",72370,"R",157064,"R",229434,"R",2436,"R",60,"R",2496,1,"R",3,"R",11,"R",2,"R",227456,1,"R",65285,"R",47855,"R",12321,"R",16932,"R",77108,"R",300,"R",93341,"R",93641,"R",463490,398205
