UNITID,PRGMOFR,CIPCODE1,XCIPTUI1,CIPTUIT1,XCIPSUP1,CIPSUPP1,XCIPLGT1,CIPLGTH1,PRGMSR1,XMTHCMP1,MTHCMP1,XWKCMP1,WKCMP1,XLNAYHR1,LNAYHR1,XLNAYWK1,LNAYWK1,XCHG1PY0,CHG1PY0,XCHG1PY1,CHG1PY1,XCHG1PY2,CHG1PY2,XCHG1PY3,CHG1PY3,XCHG4PY0,CHG4PY0,XCHG4PY1,CHG4PY1,XCHG4PY2,CHG4PY2,XCHG4PY3,CHG4PY3,XCHG5PY0,CHG5PY0,XCHG5PY1,CHG5PY1,XCHG5PY2,CHG5PY2,XCHG5PY3,CHG5PY3,XCHG6PY0,CHG6PY0,XCHG6PY1,CHG6PY1,XCHG6PY2,CHG6PY2,XCHG6PY3,CHG6PY3,XCHG7PY0,CHG7PY0,XCHG7PY1,CHG7PY1,XCHG7PY2,CHG7PY2,XCHG7PY3,CHG7PY3,XCHG8PY0,CHG8PY0,XCHG8PY1,CHG8PY1,XCHG8PY2,CHG8PY2,XCHG8PY3,CHG8PY3,XCHG9PY0,CHG9PY0,XCHG9PY1,CHG9PY1,XCHG9PY2,CHG9PY2,XCHG9PY3,CHG9PY3,CIPCODE2,XCIPTUI2,CIPTUIT2,XCIPSUP2,CIPSUPP2,XCIPLGT2,CIPLGTH2,PRGMSR2,XMTHCMP2,MTHCMP2,CIPCODE3,XCIPTUI3,CIPTUIT3,XCIPSUP3,CIPSUPP3,XCIPLGT3,CIPLGTH3,PRGMSR3,XMTHCMP3,MTHCMP3,CIPCODE4,XCIPTUI4,CIPTUIT4,XCIPSUP4,CIPSUPP4,XCIPLGT4,CIPLGTH4,PRGMSR4,XMTHCMP4,MTHCMP4,CIPCODE5,XCIPTUI5,CIPTUIT5,XCIPSUP5,CIPSUPP5,XCIPLGT5,CIPLGTH5,PRGMSR5,XMTHCMP5,MTHCMP5,CIPCODE6,XCIPTUI6,CIPTUIT6,XCIPSUP6,CIPSUPP6,XCIPLGT6,CIPLGTH6,PRGMSR6,XMTHCMP6,MTHCMP6 
101277,2,"12.0401","A",.,"A",.,"R",1500,1,"R",12,"R",47,"R",900,"R",28,"R",9150,"R",10050,"R",10050,"R",10050,"R",1400,"R",1819,"R",1819,"R",1965,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",10434,"R",10646,"R",10822,"R",6897,"R",7132,"R",7273,"R",7391,"R",8084,"R",5053,"R",4383,"R",4465,"R",8202,"12.0413","R",1600,"R",815,"R",650,1,"R",6,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
102711,12,"47.0105","A",.,"A",.,"R",1414,1,"R",11,"R",43,"R",900,"R",26,"R",3025,"R",3025,"R",3025,"R",3250,"R",2491,"R",2491,"R",2491,"R",2491,"R",8385,"R",8385,"R",8385,"R",9019,"R",2150,"R",2150,"R",2150,"R",2150,"R",17738,"R",17738,"R",17738,"R",18920,"R",2150,"R",2150,"R",2150,"R",2150,"R",2150,"R",2150,"R",2150,"R",2150,"52.0401","R",3250,"R",1537,"R",1246,1,"R",10,"12.0504","R",3250,"R",3647,"R",1351,1,"R",10,"48.0508","R",3250,"R",4167,"R",1120,1,"R",9,"47.0201","R",2660,"R",1120,"R",686,1,"R",5,"15.0501","R",2660,"R",1010,"R",686,1,"R",5,
103501,9,"51.0801","A",.,"A",.,"R",46,2,"R",10,"R",40,"R",30,"R",30,"R",13693,"R",14290,"R",14965,"R",15315,"R",0,"R",0,"R",0,"R",0,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",13890,"R",14050,"R",14950,"R",14660,"R",3600,"R",4100,"R",6970,"R",9470,"R",3600,"R",4100,"R",6970,"R",9470,"51.3501","R",15245,"A",.,"R",48,2,"R",10,"51.0713","R",11746,"A",.,"R",34,2,"R",11,"52.0201","R",15315,"A",.,"R",42,2,"R",10,"52.0305","R",24370,"A",.,"R",66,2,"R",15,"51.1009","R",9905,"A",.,"R",27,2,"R",7,
103741,2,"12.0401","A",.,"A",.,"R",1600,1,"R",12,"R",46,"R",900,"R",26,"R",16000,"R",16750,"R",16750,"R",17424,"R",1550,"R",2100,"R",2350,"R",2750,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",7889,"R",8936,"R",8855,"R",8959,"R",8545,"R",7314,"R",7544,"R",7636,"R",8545,"R",7314,"R",7544,"R",7636,"12.0413","R",5200,"R",300,"R",650,1,"R",5,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
103811,4,"49.0205","A",.,"A",.,"R",24,2,"R",6,"R",24,"R",36,"R",30,"R",9150,"R",9150,"R",9450,"R",9450,"R",320,"R",320,"R",320,"R",320,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",6816,"R",7434,"R",8310,"R",7020,"R",3246,"R",5220,"R",4158,"R",4062,"R",3246,"R",5220,"R",4158,"R",4062,"49.0205","R",7410,"R",320,"R",400,1,"R",2,"49.0205","R",6950,"R",320,"R",360,1,"R",4,"49.0205","R",3900,"R",320,"R",160,1,"R",1,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
103893,8,"51.0801","A",.,"A",.,"R",36,2,"R",9,"R",36,"R",24,"R",36,"R",14287,"R",14283,"R",14265,"R",14128,"R",859,"R",679,"R",679,"R",1005,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",10413,"R",11493,"R",11970,"R",12492,"R",3852,"R",4149,"R",4167,"R",4158,"R",3951,"R",4266,"R",4284,"R",4284,"51.0601","R",14094,"R",975,"R",36,2,"R",9,"51.0808","R",12710,"R",1105,"R",27,2,"R",9,"51.0805","R",13992,"R",1035,"R",36,2,"R",9,"51.0714","R",14128,"R",1359,"R",36,2,"R",9,"51.0001","R",13456,"R",960,"R",60,2,"R",11,
103909,9,"51.0801","A",.,"A",.,"R",36,2,"R",9,"R",36,"R",24,"R",36,"R",14287,"R",14283,"R",14265,"R",14128,"R",859,"R",679,"R",679,"R",1005,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",10413,"R",11493,"R",11970,"R",12492,"R",3852,"R",4149,"R",4167,"R",4158,"R",3951,"R",4266,"R",4284,"R",4284,"51.0601","R",14094,"R",975,"R",36,2,"R",9,"51.0602","R",54140,"R",7421,"R",83,2,"R",20,"51.0714","R",14128,"R",1359,"R",36,2,"R",9,"51.0808","R",12710,"R",1105,"R",27,2,"R",9,"51.2604","R",13686,"R",1142,"R",29,2,"R",9,
103927,8,"51.0801","A",.,"A",.,"R",36,2,"R",9,"R",36,"R",24,"R",36,"R",14287,"R",14283,"R",14265,"R",14128,"R",859,"R",679,"R",679,"R",1005,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",10413,"R",11493,"R",11970,"R",12492,"R",3852,"R",4149,"R",4185,"R",4158,"R",3951,"R",4266,"R",4284,"R",4284,"51.0601","R",14094,"R",975,"R",36,2,"R",9,"51.2604","R",13686,"R",1142,"R",29,2,"R",9,"51.0808","R",12710,"R",1105,"R",27,2,"R",9,"51.0805","R",13992,"R",1035,"R",36,2,"R",9,"51.0714","R",14128,"R",1359,"R",36,2,"R",9,
103954,3,"12.0401","A",.,"A",.,"R",1600,1,"R",13,"R",52,"R",900,"R",30,"R",14060,"R",14500,"R",14500,"R",14500,"R",1000,"R",1100,"R",1100,"R",1150,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",15444,"R",13715,"R",13572,"R",8047,"R",8307,"R",11219,"R",11570,"R",9906,"R",10816,"R",7956,"R",8164,"R",6344,"12.0410","R",3850,"R",1200,"R",600,1,"R",5,"12.0413","R",4450,"R",200,"R",650,1,"R",6,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
103963,4,"48.0508","A",.,"A",.,"R",960,1,"R",10,"R",40,"R",900,"R",36,"R",19220,"R",19220,"R",19220,"R",19220,"R",0,"R",0,"R",0,"R",0,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",9060,"R",9420,"R",9610,"R",9800,"R",10110,"R",10310,"R",10520,"R",10730,"R",10110,"R",10310,"R",10520,"R",10730,"47.0604","R",24000,"R",0,"R",1000,1,"R",13,"47.0201","R",19220,"R",0,"R",800,1,"R",10,"47.0605","R",24000,"R",0,"R",1000,1,"R",13,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
104090,20,"51.3801","A",.,"A",.,"R",122,2,"R",30,"R",120,"R",24,"R",30,"R",85000,"R",85000,"R",85000,"R",85000,"R",0,"R",0,"R",0,"R",0,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",36000,"R",36000,"R",36000,"R",36000,"R",31080,"R",31080,"R",31080,"R",31080,"R",28800,"R",28800,"R",28800,"R",28800,"51.0801","R",15225,"R",0,"R",32,2,"R",10,"51.3902","R",15225,"R",0,"R",32,2,"R",10,"51.0713","R",15225,"R",0,"R",32,2,"R",10,"51.1009","R",15225,"R",0,"R",32,2,"R",10,"51.0701","R",30000,"R",0,"R",60,2,"R",14,
104391,2,"12.0401","A",.,"A",.,"R",1600,1,"R",12,"R",48,"R",900,"R",30,"R",11100,"R",11100,"R",11500,"R",11500,"R",2900,"R",2900,"R",2900,"R",2900,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",8928,"R",8928,"R",8928,"R",8928,"R",5268,"R",5268,"R",5268,"R",5268,"R",3372,"R",3372,"R",3372,"R",3372,"51.3501","R",10435,"R",1245,"R",700,1,"R",6,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
104434,1,"12.0401","A",.,"A",.,"R",1600,1,"R",12,"R",46,"R",900,"R",26,"R",16000,"R",16750,"R",16750,"R",17424,"R",1550,"R",2100,"R",2350,"R",2750,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",7889,"R",8936,"R",8855,"R",8959,"R",8545,"R",7314,"R",7544,"R",7636,"R",8545,"R",7314,"R",7544,"R",7636,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
104443,2,"12.0401","A",.,"A",.,"R",1600,1,"R",12,"R",46,"R",900,"R",26,"R",16672,"R",17422,"R",17422,"R",17424,"R",1550,"R",2100,"R",2350,"R",2750,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",7165,"R",8131,"R",8050,"R",8142,"R",7763,"R",6647,"R",6854,"R",6935,"R",7763,"R",6647,"R",6854,"R",6935,"12.0413","R",5200,"R",300,"R",650,1,"R",5,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
104504,2,"51.3501","A",.,"A",.,"R",750,1,"R",8,"R",32,"R",900,"R",30,"R",11194,"R",11194,"R",11194,"R",11254,"R",1327,"R",1327,"R",1372,"R",1372,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",6600,"R",6800,"R",7000,"R",7200,"R",3600,"R",3800,"R",4000,"R",4400,"R",3000,"R",3200,"R",3400,"R",3520,"51.3501","R",3287,"R",92,"R",250,1,"R",2,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
104568,3,"12.0401","A",.,"A",.,"R",1600,1,"R",14,"R",55,"R",900,"R",26,"R",16000,"R",16000,"R",16000,"R",16000,"R",1540,"R",1540,"R",1860,"R",1860,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",13613,"R",13613,"R",13613,"R",13613,"R",5101,"R",5101,"R",5101,"R",5101,"R",5101,"R",5101,"R",5101,"R",5101,"12.0409","R",8400,"R",1520,"R",600,1,"R",7,"12.0413","R",3900,"R",875,"R",650,1,"R",7,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
104911,4,"12.0401","A",.,"A",.,"R",1600,1,"R",12,"R",48,"R",900,"R",26,"R",15495,"R",15495,"R",15495,"R",15495,"R",2500,"R",2500,"R",2500,"R",2500,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",13872,"R",14148,"R",14148,"R",13080,"R",7260,"R",7404,"R",7404,"R",7800,"R",4752,"R",4848,"R",4848,"R",5700,"12.0409","R",8795,"R",1200,"R",600,1,"R",6,"12.0410","R",6995,"R",995,"R",600,1,"R",6,"12.0413","R",4000,"R",0,"R",650,1,"R",6,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
105215,9,"47.0611","A",.,"A",.,"R",69,2,"R",15,"R",60,"R",30,"R",30,"R",26300,"R",26850,"R",26950,"R",27100,"R",215,"R",215,"R",215,"R",215,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",10320,"R",10215,"R",10305,"R",10425,"R",9150,"R",9060,"R",9135,"R",9240,"R",5655,"R",5595,"R",5640,"R",9240,"47.0611","R",29800,"R",215,"R",74,2,"R",17,"47.0611","R",21700,"R",215,"R",56,2,"R",11,"47.0611","R",37900,"R",215,"R",95,2,"R",21,"47.0611","R",43050,"R",215,"R",112,2,"R",24,"47.0611","R",32400,"R",215,"R",81,2,"R",18,
105482,1,"51.3501","A",.,"A",.,"R",720,1,"R",8,"R",32,"R",900,"R",30,"R",11194,"R",11194,"R",11194,"R",11254,"R",1328,"R",1328,"R",1373,"R",1373,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",6400,"R",6600,"R",6800,"R",7000,"R",2120,"R",2200,"R",2400,"R",2600,"R",2040,"R",2080,"R",2120,"R",2200,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
105534,18,"51.0801","A",.,"A",.,"R",800,1,"R",9,"R",36,"R",900,"R",36,"R",11397,"R",11734,"R",12024,"R",12380,"R",562,"R",666,"R",670,"R",710,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",10485,"R",10485,"R",10485,"R",9756,"R",4869,"R",4869,"R",4869,"R",6003,"R",2853,"R",2853,"R",2853,"R",3357,"51.0701","R",20192,"R",2135,"R",840,1,"R",12,"51.0701","R",12212,"R",1687,"R",570,1,"R",11,"51.0911","R",18000,"R",2074,"R",750,1,"R",12,"51.0601","R",12615,"R",767,"R",720,1,"R",8,"51.0908","R",17643,"R",2224,"R",735,1,"R",12,
